Gene,Gene Name,log_2 fold change
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199217"" target=""_blank"">ENSG00000199217</a>",RNU6-1123P,3.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000153922"" target=""_blank"">ENSG00000153922</a>",CHD1,3.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000013573"" target=""_blank"">ENSG00000013573</a>",DDX11,3.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000274602"" target=""_blank"">ENSG00000274602</a>",PI4KAP1,3.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000196436"" target=""_blank"">ENSG00000196436</a>",NPIPB15,2.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000232022"" target=""_blank"">ENSG00000232022</a>",FAAHP1,2.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000235855"" target=""_blank"">ENSG00000235855</a>",OR7E145P,2.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000239035"" target=""_blank"">ENSG00000239035</a>",SNORD13D,2.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000168993"" target=""_blank"">ENSG00000168993</a>",CPLX1,2.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000241598"" target=""_blank"">ENSG00000241598</a>",KRTAP5-4,2.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200877"" target=""_blank"">ENSG00000200877</a>",RNU6-560P,2.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000205867"" target=""_blank"">ENSG00000205867</a>",KRTAP5-2,2.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000106483"" target=""_blank"">ENSG00000106483</a>",SFRP4,2.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000254681"" target=""_blank"">ENSG00000254681</a>",PKD1P5,2.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200575"" target=""_blank"">ENSG00000200575</a>",RNU6-414P,2.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199350"" target=""_blank"">ENSG00000199350</a>",RNA5SP432,2.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199489"" target=""_blank"">ENSG00000199489</a>",SNORD115-25,2.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000249861"" target=""_blank"">ENSG00000249861</a>",LGALS16,2.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000210196"" target=""_blank"">ENSG00000210196</a>",MT-TP,2.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000244411"" target=""_blank"">ENSG00000244411</a>",KRTAP5-7,2.5
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000184055"" target=""_blank"">ENSG00000184055</a>",OR7E87P,2.5
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200702"" target=""_blank"">ENSG00000200702</a>",Y_RNA,2.5
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000201843"" target=""_blank"">ENSG00000201843</a>",Y_RNA,2.5
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199240"" target=""_blank"">ENSG00000199240</a>",RNA5SP46,2.4
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000134765"" target=""_blank"">ENSG00000134765</a>",DSC1,2.4
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000202261"" target=""_blank"">ENSG00000202261</a>",SNORD115-44,2.4
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000180105"" target=""_blank"">ENSG00000180105</a>",ACER2P1,2.4
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000252199"" target=""_blank"">ENSG00000252199</a>",SNORA70,2.4
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000214814"" target=""_blank"">ENSG00000214814</a>",FER1L6,2.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000181163"" target=""_blank"">ENSG00000181163</a>",NPM1,2.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000120647"" target=""_blank"">ENSG00000120647</a>",CCDC77,2.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166206"" target=""_blank"">ENSG00000166206</a>",GABRB3,2.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000137221"" target=""_blank"">ENSG00000137221</a>",TJAP1,2.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000239175"" target=""_blank"">ENSG00000239175</a>",RNU6-1218P,2.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000179994"" target=""_blank"">ENSG00000179994</a>",SPDYE7P,2.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000204572"" target=""_blank"">ENSG00000204572</a>",KRTAP5-10,2.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000102076"" target=""_blank"">ENSG00000102076</a>",OPN1LW,2.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000100033"" target=""_blank"">ENSG00000100033</a>",PRODH,2.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000201356"" target=""_blank"">ENSG00000201356</a>",RNA5SP500,2.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207114"" target=""_blank"">ENSG00000207114</a>",RNU6-348P,2.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000100473"" target=""_blank"">ENSG00000100473</a>",COCH,2.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000262085"" target=""_blank"">ENSG00000262085</a>",OR1P1,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000068885"" target=""_blank"">ENSG00000068885</a>",IFT80,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206999"" target=""_blank"">ENSG00000206999</a>",RNU6-622P,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200593"" target=""_blank"">ENSG00000200593</a>",SNORD115-33,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000202306"" target=""_blank"">ENSG00000202306</a>",Y_RNA,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000202318"" target=""_blank"">ENSG00000202318</a>",Y_RNA,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200478"" target=""_blank"">ENSG00000200478</a>",SNORD115-41,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206816"" target=""_blank"">ENSG00000206816</a>",Y_RNA,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000254997"" target=""_blank"">ENSG00000254997</a>",KRTAP5-9,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000266976"" target=""_blank"">ENSG00000266976</a>",ERVE-5,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000213416"" target=""_blank"">ENSG00000213416</a>",KRTAP4-12,2.2
